Label,Hindi,Eng,Marathi,Tamil,German,Japanese
pAndulipi_1,pAndulipi_1,manuscript_1,,,,
pAra+kara_1,pAra+kara_1,cross_1,,,,
pAsa+ho_1,pAsa+ho_1,pass_1,,,,
pEra_1,pEra_1,foot_1,,,,
pEsA_1,pEsA_1,money_1,,,geld_1,
pUraba_1,pUraba_1,east_1,,,,
pUraka_1,pUraka_1,complement_1,,,,
pZlora_1,pZlora_1,floor_1,,,,
paDZA_1,paDZA_1,teach_1,,,,
paDZa_1,paDZa_1,study_2,,,,
paDZa_2,paDZa_2,read_2,,,lesen_1,yomu_1
paDa_1,paDa_1,study_3,,,,
paDa_2,paDa_2,read_3,,,,
pablika_1,pablika_1,public_1,,,,
padZosa_1,padZosa_1,neighbour_1,,,,
pahAdZa_1,pahAdZa_1,table_2,,,,
pahacAna_1,pahacAna_1,recognize_1,,,erkennen_1,ninshiki_1
pahalA_1,pahalA_1,first_1,,,,
pahana_1,pahana_1,wear_1,,,,
pakA_1,pakA_1,cook_1,,,kochen_1,chouri_1
pakRa_1,pakRa_1,favor_1,,,,
pakadZa_1,pakadZa_1,catch_1,,,,
parIkRA_1,parIkRA_1,examination_1,,,,
parIkRA_2,parIkRA_2,exam_2,,,,
paraMwu_1,paraMwu_1,but_1,,,,
para_2,para_2,but_2,,,,
paracejZa+mEnejara_1,paracejZa+mEnejara_1,purchase-manager_1,,,,
paramAwmA_1,paramAwmA_1,god_1,,,,
pareSAnI_1,pareSAnI_1,worry_1,,,,
pareSAnI_2,pareSAnI_2,problem_2,,,problem_1,
pariSramI_1,pariSramI_1,hard-worker_1,,,,
pariSramI_2,pariSramI_2,hard-working_1,,,,
pariSrama_1,pariSrama_1,work_4,,,,
parsanala+asissteMta_1,parsanala+asissteMta_1,personal-assistant_1,,,,
pasaMxa+A_1,pasaMxa+A_1,love_1,,,liebe_1,
pasaMxa+kara_1,pasaMxa+kara_1,like_2,,,,
pasanxa+kara_1,pasanxa+kara_1,like_3,,,,
pawaMga_1,pawaMga_1,kite_1,,,,
pawi_1,pawi_1,husband_1,,,,
pawra_1,pawra_1,leaf_1,,,,
pawra_2,pawra_2,letter_2,,,brief_1,tegami_1
pawra_3,pawra_3,letter_3,,,,
paxa_1,paxa_1,post_1,,,,
peSA_1,peSA_1,profession_1,,,,
pena_1,pena_1,pen_3,,,,
peya_1,peya_1,drink_2,,,,
piCalA_1,piCalA_1,last_2,,,,
pikcara_1,pikcara_1,movie_3,,,,
piwA_1,piwA_1,father_1,,,,
piwAjI_1,piwAjI_1,father_2,,,,
posta+kara_1,posta+kara_1,post_2,,,,
pqWvI_1,pqWvI_1,earth_1,,,Erde_1,
prAWamika+skUla_1,prAWamika+skUla_1,primary-school_1,,,,
prAnwa_1,prAnwa_1,area_2,,,,
praBAvaSAlI_1,praBAvaSAlI_1,impressive_1,,,,
praSaMsA+kara_1,praSaMsA+kara_1,compliment_1,,,,
praSaMsA+kara_2,praSaMsA+kara_2,praise_2,,,,
praXAnAXyApaka_1,praXAnAXyApaka_1,principal_1,,,schulleiter_1,
praXAnamanwrI_1,praXAnamanwrI_1,prime-minister_1,,,,
prajA_1,prajA_1,people_2,,,,
prakAra_1,prakAra_1,form_2,,,,
prakAra_2,prakAra_2,type_2,,,,
prasannawA_1,prasannawA_1,pleasure_1,,,,
prasixXa_1,prasixXa_1,famous_1,,,,
prema+kara_1,prema+kara_1,love_2,,,,
priMsipala_1,priMsipala_1,principal_2,,,,
proPesara_1,proPesara_1,professor_1,,,,
projekta_1,projekta_1,project_1,,,,
proparty+dIlara_1,proparty+dIlara_1,property-dealer_1,,,,
puswaka_1,puswaka_1,book_2,,,,
puwrI_1,puwrI_1,daughter_1,,,,
puwra_1,puwra_1,son_3,,,,
pyAra+kara_1,pyAra+kara_1,love_3,,,,
rAjA_1,rAjA_1,king_1,,,,
rAjaXAnI_1,rAjaXAnI_1,capital_1,,,,
rAwa_1,rAwa_1,night_1,,,,
rAwa_2,rAwa_2,tonight_2,,,,
rAya_1,rAya_1,advice_1,,,,
raMgIna+telIvijZana_1,raMgIna+telIvijZana_1,color-television_1,,,,
raMga_1,raMga_1,color_1,,,,
raha_1,raha_1,live_1,,,leben_1,sumu_1
raha_2,raha_2,stay_2,,,,
rasoI+Gara_1,rasoI+Gara_1,kitchen_1,,,,
ravivAra_1,ravivAra_1,Sun_1,,,,
rePZareMsa_1,rePZareMsa_1,reference_1,,,,
relagAdZI_1,relagAdZI_1,train_2,,,,
ro_1,ro_1,weep_1,,,,
roeMxAra_1,roeMxAra_1,furry_1,,,,
roga_1,roga_1,disease_1,,,,
rojAnA_1,rojAnA_1,daily_1,,,,
rojZa_1,rojZa_1,daily_2,,,,
roka_1,roka_1,prevent_1,,,,
ruci_1,ruci_1,interest_1,,,,
ruci_2,ruci_2,interest_2,,,,
rupE_1,rupE_1,rupee_1,,,,
sAP+kara_1,sAP+kara_1,clean_2,,,säubern_1,
sAWa+le_1,sAWa+le_1,take_4,,,,
sAPa+suWarA_1,sAPa+suWarA_1,clean_2,,,,
sAXAraNa_1,sAXAraNa_1,simple_1,,,,
sAdZI_1,sAdZI_1,saree_1,,,,
sAhaba_1,sAhaba_1,boss_1,,,,
sAikila_1,sAikila_1,bicycle_1,,,,
sAikila_2,sAikila_2,cycle_2,,,,
sAla_1,sAla_1,year_1,,,jahr_1,
sAmAnya_1,sAmAnya_1,normal_1,,,,
sArA_1,sArA_1,whole_1,,,,
sArA_2,sArA_2,all_2,,,ganz_1,
sAwa_1,sAwa_1,seven_1,,,,
sAzpa_1,sAzpa_1,snake_1,,,,
sEra-sapAtA_1,sEra-sapAtA_1,picnic_1,,,,
sIKa_1,sIKa_1,learn_1,,,lernen_1,
sIXA_1,sIXA_1,straight_1,,,,
sO_1,sO_1,100_1,,,,
xo-sO_1,xo-sO_1,200_1,,,,
sOxA_1,sOxA_1,deal_1,,,,
sUara_1,sUara_1,boar_1,,,,
sUrya_1,sUrya_1,sun_1,,,,
sUta_1,sUta_1,suit_1,,,,
sWAna_1,sWAna_1,position_1,,,,
saMBAla_1,saMBAla_1,do_3,,,,
saMbaMXI_1,saMbaMXI_1,relatives_1,,,,
saMpAxaka_1,saMpAxaka_1,editor_1,,,,
saMparka+kara_1,saMparka+kara_1,contact_1,,,,
saMskqwa_1,saMskqwa_1,sanskrit_1,,,,
saMwulana_1,saMwulana_1,balance_1,,,,
saba_1,saba_1,all_1,,,all_1,
sadZaka_1,sadZaka_1,road_2,,,,
sahAyaka_1,sahAyaka_1,assistant_1,,,,
sahAyawA+kara_1,sahAyawA+kara_1,help_2,,,,
sahana+kara_1,sahana+kara_1,endure_1,,,,
sahelI_1,sahelI_1,friend_2,,,,
salAha_1,salAha_1,advice_2,,,,
samAcAra_1,samAcAra_1,news_2,,,,
samaJa_1,samaJa_1,understand_1,,,,
samaJa_2,samaJa_2,know_2,,,,
samaJa_3,samaJa_3,consider_1,,,,
samarWana_1,samarWana_1,support_1,,,,
samarWana_2,samarWana_2,favor_2,,,,
samaya_1,samaya_1,time_1,,,,
sammiliwa+ho_1,sammiliwa+ho_1,attend_1,,,,
sanxUka_1,sanxUka_1,box_2,,,,
sapanA_1,sapanA_1,dream_1,,,,
sara_1,sara_1,sir_1,,,,
sarakArI+nOkarI_1,sarakArI+nOkarI_1,government-job_1,,,,
sarakArI_1,sarakArI_1,government_1,,,,
sarakAra_1,sarakAra_1,government_2,,,,
savAla_1,savAla_1,question_1,,,,
savArI_1,savArI_1,conveyance_1,,,,
sawya_1,sawya_1,truth_1,,,,
se_1,se_1,belong_1,,,,
seba_1,seba_1,apple_1,,,,ringo_1
senA_1,senA_1,army_1,,,,
sevA+kara_1,sevA+kara_1,serve_1,,,,
siletI_1,siletI_1,grey_1,,,,
sinemA_1,sinemA_1,cinema_1,,,,
sipAhI_1,sipAhI_1,sepoy_1,,,,
siraxarxa_1,siraxarxa_1,headache_1,,,,
siwambara_1,siwambara_1,Sep_1,,,,
skUla_1,skUla_1,school_1,,,schule_1,gakkou_1
smArta_1,smArta_1,smart_1,,,,
snAna+kara_1,snAna+kara_1,bath_1,,,,
so_1,so_1,sleep_1,,,schlafen_1,nemuru_1
soca_2,soca_1,thought_2,,,,
somavAra_1,somavAra_1,Mon_1,,,,
stIla_1,stIla_1,steel_1,,,,
suJAva+xe_1,suJAva+xe_1,suggest_2,,,,
suKaxa_1,suKaxa_1,pleasant_1,,,,
suMxara_1,suMxara_1,beautiful_1,,,schön_1,
subaha_1,subaha_1,morning_1,,,morgen_1,
suganXa_1,suganXa_1,scent_1,,,,
sunA_1,sunA_1,tell_5,,,,
suna_1,suna_1,attend_3,,,,
suna_2,suna_2,hear_2,,,,
suna_3,suna_3,listen_3,,,,
sunxara_1,sunxara_1,beautiful_2,,,,
svAsWya_1,svAsWya_1,health_1,,,,
svAxa_1,svAxa_1,taste_1,,,,
svIkAra+kara_1,svIkAra+kara_1,accept_1,,,akzeptieren_1,ukeireru_1
svaBAva_1,svaBAva_1,nature_1,,,,
svaBAva_2,svaBAva_2,temper_2,,,,
tAima+tebala_1,tAima+tebala_1,time-table_1,,,,
tEba_1,tEba_1,tab_1,,,,
tEleMta_1,tEleMta_1,ability_1,,,,
tIma_1,tIma_1,team_1,,,,
tahalanA_1,tahalanA_1,walking_1,,,,
telIPona+nambara_1,telIPona+nambara_1,telephone-number_1,,,,
tokarI_1,tokarI_1,basket_1,,,,
trEPZika+lAIta_1,trEPZika+lAIta_1,traffic-light_1,,,,
uTA_1,uTA_1,lift_1,,,,
uXAra+xe_1,uXAra+xe_1,lend_1,,,,
udZA_1,udZA_1,fly_1,,,,
umra_1,umra_1,age_2,,,,
umra_2,umra_2,address_2,,,,
upahAra_1,upahAra_1,gift_1,,,,
upalabXa_1,upalabXa_1,offer_1,,,,
upanyAsa_1,upanyAsa_1,novel_1,,,,
uwwara+xe_1,uwwara+xe_1,reply_1,,,,
uwwara_1,uwwara_1,answer_2,,,,
uwwara_2,uwwara_2,reply_2,,,,
vIdiyo+gema_1,vIdiyo+gema_1,video-game_1,,,,
vahAz_1,vahAz_1,there_1,,,,
vakIla_1,vakIla_1,lawyer_1,,,,
vakwa_1,vakwa_1,time_2,,,,
varRa_1,varRa_1,year_2,,,,
vard+prosesiMga_1,vard+prosesiMga_1,word-processing_1,,,,
vewana_1,vewana_1,salary_1,,,,
viBAjana_1,viBAjana_1,partition_1,,,,
viRaya_1,viRaya_1,subject_1,,,,
viRaya_2,viRaya_2,matter_2,,,,
viSvavixyAlaya_1,viSvavixyAlaya_1,university_1,,,,
vicAra_2,vicAra_1,thought_3,,,,
vijFAna_1,vijFAna_1,science_1,,,,
vinxu_1,vinxu_1,point_1,,,,
vivAha+kara_1,vivAha+kara_1,marry_1,,,heiraten_1,
vivAha_1,vivAha_1,marriage_2,,,,
vixyAlaya_1,vixyAlaya_1,school_2,,,,
vixyArWI_1,vixyArWI_1,student_2,,,,
viyoga_1,viyoga_1,separation_1,,,,
vqxXa_1,vqxXa_1,old_4,,,,
vyApArI_1,vyApArI_1,businessman_1,,,,
vyAyAma_1,vyAyAma_1,exercise_1,,,,
vyakwi_1,vyakwi_1,man_2,,,,
vyakwi_2,vyakwi_2,person_2,,,,
vyakwiwva_1,vyakwiwva_1,personality_1,,,,
vyaswa_1,vyaswa_1,busy_1,,,,
vyavahAra+kara_1,vyavahAra+kara_1,behave_1,,,,
wASa_1,wASa_1,card_1,,,,
wEyArI+kara_1,wEyArI+kara_1,prepare_1,,,,
wEyAra+ho_1,wEyAra+ho_1,pave_1,,,,
wEyAra+kara_1,wEyAra+kara_1,prepare_2,,,,
wEyAra+kara_2,wEyAra+kara_2,prepare_3,,,,
wIra_1,wIra_1,bank_2,,,,
wIsarI_1,wIsarI_1,third_1,,,,
waMKvAha_1,waMKvAha_1,salary_2,,,,
wakalIPZa+kara_1,wakalIPZa+kara_1,bother_1,,,,
wakalIPZa+xe_1,wakalIPZa+xe_1,trouble_1,,,schwierigkeit_1,
wakalIPZa_1,wakalIPZa_1,trouble_2,,,,
wala_1,wala_1,floor_2,,,,
walavAra_1,walavAra_1,sword_1,,,,
wambolA_1,wambolA_1,tombola_1,,,,
wanaKvZAha_1,wanaKvZAha_1,salary_3,,,,
waraha-waraha_1,waraha-waraha_1,variety_1,,,,
wasvIra_1,wasvIra_1,picture_1,,,,
wiWi_1,wiWi_1,date_1,,,,
xAKilA+le_1,xAKilA+le_1,join_3,,,,
xAKilA_1,xAKilA_1,join_4,,,,
xArSanika_1,xArSanika_1,philosopher_1,,,,
xAvawa_1,xAvawa_1,party_1,,,,
xAxI_1,xAxI_1,grandmother_1,,,großmutter_1,
xOda_1,xOda_1,run_1,,,rennen_1,
xOrA+kara_1,xOrA+kara_1,visit_2,,,,
xUXa_1,xUXa_1,milk_1,,,milch_1,
xUra_1,xUra_1,far_1,,,,
xUsarA_1,xUsarA_1,other_1,,,,
xUsarA_2,xUsarA_2,second_2,,,,
xaPZwara_1,xaPZwara_1,office_2,,,,
xarAjZa_1,xarAjZa_1,drawer_1,,,,
xaravAjA_1,xaravAjA_1,door_1,,,,
xarxa_1,xarxa_1,pain_1,,,,
xasa_1,xasa_1,ten_1,,,,
xavAwa_1,xavAwa_1,inkpot_1,,,,
xeKa_1,xeKa_1,see_1,,,sehen_1,miru_1
xeKa_2,xeKa_2,watch_2,,,beobachten_1,miru_1
xeKa_3,xeKa_3,look_3,,,,
xe_1,xe_1,give_1,,,geben_1,
xe_2,xe_2,pay_2,,,,
xiKA_1,xiKA_1,show_1,,,zeigen_1,
xiKa_1,xiKa_1,see_3,,,,
xina_1,xina_1,day_1,,,tag_1,
xisambara_1,xisambara_1,Dec_1,,,,
xo_1,xo_1,2_1,,,,
xoharA_1,xoharA_1,revise_1,,,,
xoharA_2,xoharA_2,repeat_2,,,,
xonoM_1,xonoM_1,both_1,,,,
xopahara_1,xopahara_1,noon_1,,,,
xubArA_1,xubArA_1,again_1,,,,
xukAna_1,xukAna_1,shop_1,,,,
xurBikRa_1,xurBikRa_1,famine_1,,,,
yAwrA+kara_1,yAwrA+kara_1,travel_2,,,,
yAxa+kara_1,yAxa+kara_1,learn_2,,,,
yAxa_1,yAxa_1,know_5,,,,
yUnivarsitI_1,yUnivarsitI_1,university_2,,,,
yahAz_1,yahAz_1,here_1,,,hier_1,
yogyawA_1,yogyawA_1,qualification_1,,,,
yuxXa+kara_1,yuxXa+kara_1,fight_1,,,kämpfen_1,
yuxXa_1,yuxXa_1,war_1,,,,
ho_2,ho_2,be_1,,,sein_1,
jUsa_1,jUsa_1,juice_1,,,,
cAkalet_1,cAkalet_1,chocolate_1,,,,
nOsenA_1,nOsenA_1,navy_1,,,,
BArawIya_1,BArawIya_1,indian_1,,,,
pawWara_1,pawWara_1,stone_1,,,,
muhara_1,muhara_1,coin_1,,,,
PeMka_1,PeMka_1,throw_1,,,werfen_1,
Bramiwa_1,Bramiwa_1,confuse_1,,,verwirren_1,
aBI_2,aBI_1,yet_1,,,schon_1,
samApwa_1,samApwa_1,finish_1,,,fertig_1,
apanA_1,apanA_1,own_1,,,besitzen_1,
motara_1,motara_1,car_1,,,auto_1,kuruma_1
bagIcA_1,bgIcA_1,garden_1,,,gerten_1,
maranA_1,maranA_1,die_1,,,sterben_1,
nasla_1,nasla_1,breed_1,,,züchten_1,
gulAba_1,gulAba_1,rose_1,,,rose_1,
soca_1,soca_1,think_1,,,denken_1,
kAPI_1,kAPI_1,a+lot+of_1,,,viel_1,
saMcAliwa_1,saMcAliwa_1,operate_1,,,betreiben_1,
nagara_1,nagara_1,town_1,,,stadt_1,
Sahara_1,Sahara_1,city_1,,,stadt_2,
pExA_1,pExA_1,born_1,,,geboren_1,
pESEvara_1,pESEvara_1,professional_1,,,professionell_1,
BUkA_1,BUkA_1,hungry_1,,,hungrig_1,
galawa_1,galawa_1,wrong_2,,,liegen_2,
viwaraNa_1,viwaraNa_1,deliver_1,,,liefern_1,
cidiyA_1,cidiyA_1,bird_1,,,vogel_1,tori_1
kiwAboM+kI+xukAna_1,kiwAboM+kI+xukAna_1,bookstore_1,,,buchladen_1,
bahuwa_4,bahuwa_4,too_1,,,zu_1,
svAxiRta_1,svAxiRta_1,delicious_1,,,köstlich_1,oishii_1
cUhA_1,cUhA_1,mouse_1,,,maus_1,mausu_1
sAmaMjasya_1,sAmaMjasya_1,harmony_1,,,harmonisch_1,
SAMwa_1,SAMwa_1,calm_1,,,beruhigen_1,
sAPa_1,sAPa_1,clear_1,,,klar_1,
weja_1,weja_1,loud_1,,,laut_1,
AsamAna_1,AsamAna_1,sky_1,,,himmel_1,
sEnika_1,sEnika_1,soldier_1,,,soldat_1,
murxA_1,murxA_1,dead_1,,,tot_1,
jalxI_1,jalxI_1,quick_1,,,schnell_1,
KidakI_1,KidakI_1,window_1,,,fenster_1,mado_1
baDa_1,baDa_1,grow_1,,,werden_1,
xurGatanA_1,xurGatanA_1,accident_1,,,Unfall_1,
meharabAna_1,meharabAna_1,kind_1,,,nett_1,
aMgUra_1,aMgUra_1,grape_1,,,traube_1,
pakA_2,pakA_1,ripe_1,,,reif_1,
se_2,se_1,to_1,,,nach_1,
sAPa_1,sAPa_1,clear_1,,,klar_1,
KuSa_1,KuSa_1,happy_1,,,glücklich_1,
sAmagrI_1,sAmagrI_1,stuff_1,,,zeug_1,
manA_1,manA_1,refuse_1,,,weigern_1,
aksara_1,aksara_1,often_1,,,oft_1,
vicAra_1,vicAra_1,idea_1,,,idee_1,kangae_1
piyAnovAxaka_1,piyAnovAxaka_1,pianist_1,,,pianist_1,
se_3,se_1,from_1,,,von_1,ni_1
anxara_2,anxara_2,inside_1,,,in_1,
JUTa_1,JUTa_1,lie_2,,,lüge_1,
kuwwA_1,kuwwA_1,dog_1,,,hund_1,inu_1
KicadZI_1,KicadZI_1,cereal_1,,,,
diplomA_1,diplomA_1,diploma_1,,,,
haddI_1,haddI_1,bone_1,,,,
yAwrA_1,yAwrA_1,journey_1,,,,
xaravAjZA_1,xaravAjZA_1,door_1,,,,
aXyApikA_1,aXyApikA_1,teacher_2,,,,
saMskqwa+aXyApikA_1,saMskqwa+aXyApikA_1,sanskrit-teacher_1,,,,
kamA_1,kamA_1,earn_1,,,,
prawixina_1,prawixina_1,daily_3,,,,
aBinewA_1,aBinewA_1,actor_1,,,schauspieler_1,
lambA_1,lambA_1,long_1,,,lang_1,
garIba_1,garIba_1,poor_1,,,arm_1,
acCA_3,acCA_3,nice_1,,,schön_1,
uapyoga_1,upayoga_1,use_1,,,benutzen_1,
BIgA_1,BIgA_1,wet_1,,,nass_1,
kalAkAra_1,kalAkAra_1,artist_1,,,künstler_1,
prawiBASAlI_1,prawiBASAlI_1,gifted_1,,,begabt_1,
rAwa-kA-KAnA_1,rAwa-kA-KAnA_1,dinner_1,,,abendessen_1,
nixrAlu_1,nixrAlu_1,sleepy_1,,,schläfrig_1,
kaMXA_1,kaMXA_1,shoulder_1,,,schulder_1,
ucakA_1,ucakA_1,shrug_1,,,zucken_1,
pICA_1,pICA_1,chase_1,,,jagen_1,
BarosA_1,BarosA_1,trust_1,,,vertrauen_1,
wEra_1,wEra_1,swim_1,,,schwimmen_1,
BunA+ho_1,BunA+ho_1,grill_1,,,grillen_1,
maCalI_1,maCalI_1,fish_1,,,fisch_1,
aBI-waka_1,aBI-waka_1,yet_1,,,noch_1,
lambA_2,lambA_2,tall_1,,,groß_1,
Pira_2,Pira_2,again_1,,,wieder_1,
batuA_1,batuA_1,wallet_1,,,portemonnaie_1,
meja_1,meja_1,table_1,,,tisch_1,
raKa_1,raKa_1,put_1,,,legen_1,
kAma+kara_1,kAma+kara_1,work_1,,,arbeiten_1,
prayogaSAlA_1,prayogaSAlA_1,lab_1,,,labor_1,
Xo_1,Xo_1,wash_1,,,waschen_1,
xarI_1,xarI_1,carpet_1,,,teppich_1,
Sera_1,Sera_1,lion_1,,,löwe_1,
xahAdZa_1,xahAdZa_1,roar_1,,,brüllen_1,
sAPa+kara_1,sAPa+kara_1,clean_1,,,säubern,
samarWana+kara_1,samarWana+karanA_1,support_1,,,unterstützen_1,
KarrAte+le_1,KarrAte+le_1,snore_1,,,schnarchen_1,
dUba_1,dUba_1,drown_1,,,ertrinken_1,
liKa_1,liKa_1,write_1,,,schreiben_1,
nqwya+kara_1,nqwya+kara_1,dance_1,,,tanzen_1,
sajjana_1,sajjana_1,gentleman_1,,,gentleman_1,
nahA_1,nahA_1,bathe_1,,,baden_1,
roja_1,roja_1,daily_2,,,täglich_1,
kelA_1,kelA_1,banana_1,,,Banane_1,
mITA_1,mITA_1,sweet_1,,,süß_1,
BOMka_1,BOMka_1,bark_1,,,bellen_1,
kamIja_1,kamIja_1,shirt_1,,,hemd_1,
BI_1,BI_1,too_1,,,auch_1,
bola_1,bola_1,speak_1,,,sprechen_1,
hilA_1,hilA_1,shake_1,,,schütteln_1,
sira_1,sira_1,head_1,,,kopf_1,
PUta_1,PUta_1,pop_1,,,platzen,
gubbArA_1,gubbArA_1,balloon_1,,,ballon_1,
balavAna_1,balavAna_1,strong_1,,,stark_1,
pI_1,pI_1,drink_1,,,trinken_1,
hawyA_1,hawyA_1,murder_1,,,ermorden_1,
jahAja_1,jahAja_1,ship_1,,,schiff_1,
laMgara_1,laMgara_1,anchor_1,,,anker_1,
beca_1,beca_1,sell_1,,,verkaufen_1,
marammawa+kara_1,marammawa+kara_1,repair_1,,,reparieren_1,
rAsBerI_1,rAsBerI_1,raspberry_1,,,himbeere_1,
Ko_1,Ko_1,lose_1,,,verlieren_1,
ummIxa_1,ummIxa_1,hope_1,,,hoffnung_1,
hara-eka_1,hara-eka_1,each_1,,,jed_1,
imArawa_1,imArawa_1,building_1,,,gebäude_1,
halavAI_1,halavAI_1,confectioner_1,,,,
rupayA_1,rupayA_1,rupee_1,,,,
xaPZanA_1,xaPZanA_1,bury_1,,,,
xarpaNa_1,xarpaNa_1,mirror_1,,,,
wAzbA_1,wAzbA_1,copper_1,,,,
mqwaka_1,mqwaka_1,dead_1,,,,
varNana+kara_1,varNana+kara_1,explain_1,,,,
AXyAwmika_1,AXyAwmika_1,religious_1,,,,
XanurXara_1,XanurXara_1,archer_1,,,,
SiRya_1,SiRya_1,disciple_1,,,,
kaNTasWa+kara_1,kaNTasWa+kara_1,memorize_1,,,,
tAPI_1,tAPI_1,chocolate_2,,,,
reMgane_wAlA_jaMtu_1,reMgane_wAlA_jaMtu_1,reptile_1,,,reptilien_1,
kaCuA_1,kaCuA_1,turtle_1,,,schildkröte_1,
sakwA_1,sakwA_1,can_1,,,können_1,
soPzA_1,soPzA_1,couch_1,,,sofa_1,
CipAnA_1,CipAnA_1,hide_1,,,verstecken_1,
waba_1,waba_1,then_2,,,,
diplomA+korsa_1,diplomA+korsa_1,diplomai-course_1,,,,
GaNtA_1,GaNtA_1,hour_2,,,,
raPwAra_1,raPwAra_1,speed_1,,,,
kvAlitI_1,kvAlitI_1,quality_2,,,,
kAgaja_1,kAgaja_1,paper_2,,,,
jAnavara_1,jAnavara_1,animal_1,,,,
saBA_1,saBA_1,meeting_1,,,,
hAWI_1,hAWI_1,elephant_1,,,,
KadA+ho_1,KadA+ho_1,stand_1,,,,
kOA_1,kOA_1,crow_1,,,,
cAlAkI_1,cAlAkI_1,intention_2,,,,
xAzwa_1,xAzwa_1,tooth_1,,,,
hoSiyAra_1,hoSiyAra_1,clever_2,,,,
aBinna_1,aBinna_1,intimate_1,,,,
gaXA_1,gaXA_1,donkey_1,,,,
mUrKa_1,mUrKa_1,idiot_1,,,,
uxGoRaka_1,uxGoRaka_1,announcer_1,,,,
uTa_1,uTa_1,wake_1,,,,
darapoka_1,darapoka_1,timid_1,,,,
purAnA_1,purAnA_1,old_6,,,alt_1,
